stat_id,match_id,player_id,team_id,match_date,minutes_played,goals,assists
ps_00001,wc2018_rus_ksa_gs,pla_dzuba,team_rus,2018-06-14,90,1,0
ps_00002,wc2018_rus_ksa_gs,pla_dzuba,team_rus,2018-06-14,90,1,0
ps_00003,wc2018_rus_ksa_gs,pla_dzuba,team_rus,2018-06-14,90,1,0
ps_00004,wc2018_rus_ksa_gs,pla_dzuba,team_rus,2018-06-14,90,1,0
ps_00005,wc2018_rus_ksa_gs,pla_dzuba,team_rus,2018-06-14,90,1,0
ps_00006,wc2018_egy_uru_gs,pla_suarez,team_uru,2018-06-15,90,1,0
ps_00007,wc2018_por_esp_gs,pla_bruno,team_por,2018-06-15,90,1,0
ps_00008,wc2018_por_esp_gs,pla_leao,team_por,2018-06-15,90,1,0
ps_00009,wc2018_por_esp_gs,pla_ronaldo,team_por,2018-06-15,90,1,0
ps_00010,wc2018_por_esp_gs,pla_olmo,team_esp,2018-06-15,90,1,0
ps_00011,wc2018_por_esp_gs,pla_f_ Torres,team_esp,2018-06-15,90,1,0
ps_00012,wc2018_por_esp_gs,pla_morata,team_esp,2018-06-15,90,1,0
ps_00013,wc2018_mar_irn_gs,pla_taremi,team_irn,2018-06-15,90,1,0
ps_00014,wc2018_cro_nga_gs,pla_perisic,team_cro,2018-06-16,90,1,0
ps_00015,wc2018_cro_nga_gs,pla_kramaric,team_cro,2018-06-16,90,1,0
ps_00016,wc2018_arg_isl_gs,pla_messi,team_arg,2018-06-16,90,1,0
ps_00017,wc2018_arg_isl_gs,pla_sigurdsson_g,team_isl,2018-06-16,90,1,0
ps_00018,wc2018_per_den_gs,pla_eriksen,team_den,2018-06-16,90,1,0
ps_00019,wc2018_fra_aus_gs,pla_mbappe,team_fra,2018-06-16,90,1,0
ps_00020,wc2018_fra_aus_gs,pla_benzema,team_fra,2018-06-16,90,1,0
ps_00021,wc2018_fra_aus_gs,pla_duke,team_aus,2018-06-16,90,1,0
ps_00022,wc2018_ger_mex_gs,pla_lozano,team_mex,2018-06-17,90,1,0
ps_00023,wc2018_bra_sui_gs,pla_vinicius,team_bra,2018-06-17,90,1,0
ps_00024,wc2018_bra_sui_gs,pla_embolo,team_sui,2018-06-17,90,1,0
ps_00025,wc2018_crc_srb_gs,pla_kostic,team_srb,2018-06-17,90,1,0
ps_00026,wc2018_tun_eng_gs,pla_msakni,team_tun,2018-06-18,90,1,0
ps_00027,wc2018_tun_eng_gs,pla_kane,team_eng,2018-06-18,90,1,0
ps_00028,wc2018_tun_eng_gs,pla_foden,team_eng,2018-06-18,90,1,0
ps_00029,wc2018_bel_pan_gs,pla_de_bruyne,team_bel,2018-06-18,90,1,0
ps_00030,wc2018_bel_pan_gs,pla_lukaku,team_bel,2018-06-18,90,1,0
ps_00031,wc2018_bel_pan_gs,pla_hazard,team_bel,2018-06-18,90,1,0
ps_00032,wc2018_swe_kor_gs,pla_forsberg,team_swe,2018-06-18,90,1,0
ps_00033,wc2018_pol_sen_gs,pla_lewandowski,team_pol,2018-06-19,90,1,0
ps_00034,wc2018_pol_sen_gs,pla_mane,team_sen,2018-06-19,90,1,0
ps_00035,wc2018_pol_sen_gs,pla_mane,team_sen,2018-06-19,90,1,0
ps_00036,wc2018_col_jpn_gs,pla_james,team_col,2018-06-19,90,1,0
ps_00037,wc2018_col_jpn_gs,pla_kamada,team_jpn,2018-06-19,90,1,0
ps_00038,wc2018_col_jpn_gs,pla_minamino,team_jpn,2018-06-19,90,1,0
ps_00039,wc2018_rus_egy_gs,pla_dzuba,team_rus,2018-06-19,90,1,0
ps_00040,wc2018_rus_egy_gs,pla_dzuba,team_rus,2018-06-19,90,1,0
ps_00041,wc2018_rus_egy_gs,pla_dzuba,team_rus,2018-06-19,90,1,0
ps_00042,wc2018_rus_egy_gs,pla_salah,team_egy,2018-06-19,90,1,0
ps_00043,wc2018_irn_esp_gs,pla_olmo,team_esp,2018-06-20,90,1,0
ps_00044,wc2018_uru_ksa_gs,pla_suarez,team_uru,2018-06-20,90,1,0
ps_00045,wc2018_por_mar_gs,pla_bruno,team_por,2018-06-20,90,1,0
ps_00046,wc2018_den_aus_gs,pla_eriksen,team_den,2018-06-21,90,1,0
ps_00047,wc2018_den_aus_gs,pla_duke,team_aus,2018-06-21,90,1,0
ps_00048,wc2018_fra_per_gs,pla_mbappe,team_fra,2018-06-21,90,1,0
ps_00049,wc2018_arg_cro_gs,pla_perisic,team_cro,2018-06-21,90,1,0
ps_00050,wc2018_arg_cro_gs,pla_kramaric,team_cro,2018-06-21,90,1,0
ps_00051,wc2018_arg_cro_gs,pla_pasalic,team_cro,2018-06-21,90,1,0
ps_00052,wc2018_nga_isl_gs,pla_musa,team_nga,2018-06-22,90,1,0
ps_00053,wc2018_nga_isl_gs,pla_nigeria_squad_8,team_nga,2018-06-22,90,1,0
ps_00054,wc2018_bra_crc_gs,pla_vinicius,team_bra,2018-06-22,90,1,0
ps_00055,wc2018_bra_crc_gs,pla_neymar,team_bra,2018-06-22,90,1,0
ps_00056,wc2018_srb_sui_gs,pla_kostic,team_srb,2018-06-22,90,1,0
ps_00057,wc2018_srb_sui_gs,pla_embolo,team_sui,2018-06-22,90,1,0
ps_00058,wc2018_srb_sui_gs,pla_shaqiri,team_sui,2018-06-22,90,1,0
ps_00059,wc2018_kor_mex_gs,pla_son,team_kor,2018-06-23,90,1,0
ps_00060,wc2018_kor_mex_gs,pla_lozano,team_mex,2018-06-23,90,1,0
ps_00061,wc2018_kor_mex_gs,pla_jimenez,team_mex,2018-06-23,90,1,0
ps_00062,wc2018_ger_swe_gs,pla_musiala,team_ger,2018-06-23,90,1,0
ps_00063,wc2018_ger_swe_gs,pla_muller,team_ger,2018-06-23,90,1,0
ps_00064,wc2018_ger_swe_gs,pla_forsberg,team_swe,2018-06-23,90,1,0
ps_00065,wc2018_bel_tun_gs,pla_de_bruyne,team_bel,2018-06-23,90,1,0
ps_00066,wc2018_bel_tun_gs,pla_lukaku,team_bel,2018-06-23,90,1,0
ps_00067,wc2018_bel_tun_gs,pla_hazard,team_bel,2018-06-23,90,1,0
ps_00068,wc2018_bel_tun_gs,pla_trossard,team_bel,2018-06-23,90,1,0
ps_00069,wc2018_bel_tun_gs,pla_trossard,team_bel,2018-06-23,90,1,0
ps_00070,wc2018_bel_tun_gs,pla_msakni,team_tun,2018-06-23,90,1,0
ps_00071,wc2018_bel_tun_gs,pla_khazri,team_tun,2018-06-23,90,1,0
ps_00072,wc2018_pol_col_gs,pla_james,team_col,2018-06-24,90,1,0
ps_00073,wc2018_pol_col_gs,pla_falcao,team_col,2018-06-24,90,1,0
ps_00074,wc2018_pol_col_gs,pla_falcao,team_col,2018-06-24,90,1,0
ps_00075,wc2018_jpn_sen_gs,pla_kamada,team_jpn,2018-06-24,90,1,0
ps_00076,wc2018_jpn_sen_gs,pla_minamino,team_jpn,2018-06-24,90,1,0
ps_00077,wc2018_jpn_sen_gs,pla_mane,team_sen,2018-06-24,90,1,0
ps_00078,wc2018_jpn_sen_gs,pla_mane,team_sen,2018-06-24,90,1,0
ps_00079,wc2018_eng_pan_gs,pla_kane,team_eng,2018-06-24,90,1,0
ps_00080,wc2018_eng_pan_gs,pla_foden,team_eng,2018-06-24,90,1,0
ps_00081,wc2018_eng_pan_gs,pla_saka,team_eng,2018-06-24,90,1,0
ps_00082,wc2018_eng_pan_gs,pla_mount,team_eng,2018-06-24,90,1,0
ps_00083,wc2018_eng_pan_gs,pla_sterling,team_eng,2018-06-24,90,1,0
ps_00084,wc2018_eng_pan_gs,pla_sterling,team_eng,2018-06-24,90,1,0
ps_00085,wc2018_eng_pan_gs,pla_escobar,team_pan,2018-06-24,90,1,0
ps_00086,wc2018_uru_rus_gs,pla_suarez,team_uru,2018-06-25,90,1,0
ps_00087,wc2018_uru_rus_gs,pla_cavani,team_uru,2018-06-25,90,1,0
ps_00088,wc2018_uru_rus_gs,pla_de_la_cruz,team_uru,2018-06-25,90,1,0
ps_00089,wc2018_ksa_egy_gs,pla_al_dawsari,team_ksa,2018-06-25,90,1,0
