lineup_id,match_id,team_id,player_id,is_starting,bench_order,position_code,formation_slot,lineup_status,projection_prob,snapshot_ts
lu_wc2018_rus_ksa_gs_home_0,wc2018_rus_ksa_gs,team_rus,pla_akinfeev,True,,GK,4-3-3-GK,historical,1.0,
lu_wc2018_rus_ksa_gs_home_1,wc2018_rus_ksa_gs,team_rus,pla_dzagoev,True,,CM,4-3-3-CM,historical,1.0,
lu_wc2018_rus_ksa_gs_home_2,wc2018_rus_ksa_gs,team_rus,pla_dzuba,True,,ST,4-3-3-ST,historical,1.0,
lu_wc2018_rus_ksa_gs_away_0,wc2018_rus_ksa_gs,team_ksa,pla_al_owais,True,,GK,4-3-3-GK,historical,1.0,
lu_wc2018_rus_ksa_gs_away_1,wc2018_rus_ksa_gs,team_ksa,pla_al_dawsari,True,,LW,4-3-3-LW,historical,1.0,
lu_wc2018_rus_ksa_gs_away_2,wc2018_rus_ksa_gs,team_ksa,pla_al_shehri,True,,ST,4-3-3-ST,historical,1.0,
lu_wc2018_por_esp_gs_home_0,wc2018_por_esp_gs,team_por,pla_costa_d,True,,GK,4-3-3-GK,historical,1.0,
lu_wc2018_por_esp_gs_home_1,wc2018_por_esp_gs,team_por,pla_cancelo,True,,RB,4-3-3-RB,historical,1.0,
lu_wc2018_por_esp_gs_home_2,wc2018_por_esp_gs,team_por,pla_pepe,True,,CB,4-3-3-CB,historical,1.0,
lu_wc2018_por_esp_gs_home_3,wc2018_por_esp_gs,team_por,pla_dias,True,,CB,4-3-3-CB,historical,1.0,
lu_wc2018_por_esp_gs_home_4,wc2018_por_esp_gs,team_por,pla_guerreiro,True,,LB,4-3-3-LB,historical,1.0,
lu_wc2018_por_esp_gs_home_5,wc2018_por_esp_gs,team_por,pla_palhinha,True,,CDM,4-3-3-CDM,historical,1.0,
lu_wc2018_por_esp_gs_home_6,wc2018_por_esp_gs,team_por,pla_bruno,True,,CAM,4-3-3-CAM,historical,1.0,
lu_wc2018_por_esp_gs_home_7,wc2018_por_esp_gs,team_por,pla_bernardo,True,,CM,4-3-3-CM,historical,1.0,
lu_wc2018_por_esp_gs_home_8,wc2018_por_esp_gs,team_por,pla_leao,True,,LW,4-3-3-LW,historical,1.0,
lu_wc2018_por_esp_gs_home_9,wc2018_por_esp_gs,team_por,pla_ronaldo,True,,ST,4-3-3-ST,historical,1.0,
lu_wc2018_por_esp_gs_home_10,wc2018_por_esp_gs,team_por,pla_felix,True,,ST,4-3-3-ST,historical,1.0,
lu_wc2018_por_esp_gs_away_0,wc2018_por_esp_gs,team_esp,pla_simon,True,,GK,4-3-3-GK,historical,1.0,
lu_wc2018_por_esp_gs_away_1,wc2018_por_esp_gs,team_esp,pla_carvajal,True,,RB,4-3-3-RB,historical,1.0,
lu_wc2018_por_esp_gs_away_2,wc2018_por_esp_gs,team_esp,pla_laporte,True,,CB,4-3-3-CB,historical,1.0,
lu_wc2018_por_esp_gs_away_3,wc2018_por_esp_gs,team_esp,pla_pau_torres,True,,CB,4-3-3-CB,historical,1.0,
lu_wc2018_por_esp_gs_away_4,wc2018_por_esp_gs,team_esp,pla_alba,True,,LB,4-3-3-LB,historical,1.0,
